iter	MultiClass
336	0.1801103341
337	0.179901307
338	0.179821957
339	0.1795181302
340	0.1790246534
341	0.1789047258
342	0.1787950621
343	0.1787681941
344	0.1782316605
345	0.1780795091
346	0.1776691539
347	0.1771724458
348	0.1769879291
349	0.176915663
350	0.1766763284
351	0.1766018666
352	0.1764156889
353	0.1761001674
354	0.1753576639
355	0.1750830361
356	0.1749360664
357	0.1748588793
358	0.1747241131
359	0.174548909
360	0.174222494
361	0.1739987826
362	0.1737939851
363	0.1736129159
364	0.1735009764
365	0.1732041035
366	0.1730602662
367	0.1726053476
368	0.1725536883
369	0.1717347263
370	0.1714102402
371	0.1707116837
372	0.170667243
373	0.1705062244
374	0.1703965731
375	0.1702641969
376	0.1700806073
377	0.1694781005
378	0.1694350983
379	0.1688359267
380	0.1681738783
381	0.1677952009
382	0.1674664579
383	0.1673153123
384	0.1671555779
385	0.16675071
386	0.1665889391
387	0.1663650316
388	0.1660738045
389	0.165858041
390	0.1655214907
391	0.1653255774
392	0.1648634859
393	0.1643183758
394	0.1641034323
395	0.1636943182
396	0.1636653884
397	0.1633108091
398	0.1632244675
399	0.1631843951
400	0.1628715351
401	0.1628044593
402	0.1624307462
403	0.1622157173
404	0.1619721333
405	0.1618476404
406	0.1618308573
407	0.1617608416
408	0.1615261807
409	0.1613719233
410	0.1609685314
411	0.1606981662
412	0.1602626786
413	0.1599635592
414	0.1599055942
415	0.1596668388
416	0.1596161149
417	0.1595350776
418	0.1595240253
419	0.1592033042
420	0.1589657047
421	0.1588890271
422	0.158651578
423	0.1585830205
424	0.1584867146
425	0.1581323718
426	0.1578577869
427	0.1576547292
428	0.1576140114
429	0.1574501657
430	0.1573667052
431	0.1572363765
432	0.1570828651
433	0.1567253027
434	0.1565828216
435	0.1563852163
436	0.1560190392
437	0.1557993852
438	0.1556818727
439	0.1555915576
440	0.1555083912
441	0.1552854411
442	0.1551826935
443	0.1551131957
444	0.1548577578
445	0.1544733357
446	0.154419437
447	0.1540690686
448	0.1539986396
449	0.153843471
450	0.1535910502
451	0.1531683582
452	0.152880391
453	0.1527254112
454	0.1524160786
455	0.1522362042
456	0.1517742598
457	0.1514903868
458	0.1514376185
459	0.151125999
460	0.1508074705
461	0.1507559893
462	0.1506514019
463	0.1502681452
464	0.150142489
465	0.1500632711
466	0.1499964177
467	0.1496924434
468	0.1494958057
469	0.1490343347
470	0.148877518
471	0.14881702
472	0.1483500771
473	0.1482284574
474	0.1477675074
475	0.1476686743
476	0.1473121466
477	0.1470819096
478	0.1468179389
479	0.1464707081
480	0.1463213034
481	0.1459299383
482	0.1458328288
483	0.1457548159
484	0.1456415913
485	0.1454452427
486	0.1450944102
487	0.1449709789
488	0.1448283175
489	0.1445743792
490	0.1443867456
491	0.144179298
492	0.1440739646
493	0.1439489882
494	0.1437352517
495	0.143437276
496	0.1432738278
497	0.1431798922
498	0.1426604016
499	0.1424760131
500	0.1423311288
501	0.142108666
502	0.1420599176
503	0.1418597597
504	0.141766458
505	0.1416175806
506	0.1414691571
507	0.1410390106
508	0.1408751132
509	0.140689898
510	0.1405216505
511	0.1402235551
512	0.1401585749
513	0.1401203224
514	0.1398471529
515	0.1396781721
516	0.1396393477
517	0.1394241046
518	0.1392842963
519	0.139095679
520	0.1389835795
521	0.1388641254
522	0.1386993007
523	0.1385657318
524	0.1384340872
525	0.1380864112
526	0.1380735923
527	0.1378332871
528	0.1376998328
529	0.1375237679
530	0.1373825535
531	0.137241256
532	0.1370771338
533	0.1369298637
534	0.1367853832
535	0.1366341706
536	0.1364763026
537	0.1362842211
538	0.1360617793
539	0.1358753309
540	0.1354332862
541	0.1354064867
542	0.1352374454
543	0.1351507772
544	0.1349264413
545	0.1348393084
546	0.1347723856
547	0.1346973876
548	0.1344600465
549	0.1342960905
550	0.1341240632
551	0.1340838575
552	0.1338906894
553	0.1337404631
554	0.1336325008
555	0.1335181208
556	0.1333776061
557	0.1332741311
558	0.1328062641
559	0.132652333
560	0.1325371277
561	0.1323755701
562	0.1322511095
563	0.1321250875
564	0.1319443668
565	0.1318647476
566	0.1316177256
567	0.1315461284
568	0.1313970834
569	0.1312709607
570	0.131132329
571	0.1310744733
572	0.1309926564
573	0.1308733876
574	0.1306145673
575	0.1304034463
576	0.1303260742
577	0.1301560369
578	0.1300548555
579	0.1299128601
580	0.1297109188
581	0.1295811679
582	0.1293326418
583	0.129149119
584	0.1289293837
585	0.1286715558
586	0.1286211088
587	0.1284369047
588	0.1283603732
589	0.1280311249
590	0.1279241131
591	0.1278935574
592	0.1275483773
593	0.1274006248
594	0.1272643129
595	0.1270878979
596	0.1268999374
597	0.1268501237
598	0.1265202245
599	0.1263732991
600	0.1262688431
601	0.1262361185
602	0.1261309415
603	0.1260172555
604	0.1259207247
605	0.125876091
606	0.1258388841
607	0.1257122035
608	0.1257026091
609	0.1255866763
610	0.1255292047
611	0.1254219221
612	0.1253669684
613	0.1253232469
614	0.1251565602
615	0.1249656671
616	0.1248824734
617	0.1247631238
618	0.124489411
619	0.1244629605
620	0.124433563
621	0.1242700816
622	0.1241502284
623	0.1240519994
624	0.1239966611
625	0.1238268577
626	0.1237488319
627	0.123569697
628	0.1234651488
629	0.123237108
630	0.1231739557
631	0.1230881758
632	0.1229358702
633	0.122885563
634	0.1227896779
635	0.1225289387
636	0.1224002017
637	0.122329103
638	0.1222681194
639	0.1222004382
640	0.122170228
